season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bolton-wanderers,1,1.5863177876616696,1.011102038223027,3.1076372742451253
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:leeds-united:stoke-city,1,0.849273821247922,0.494732113945673,3.2542791968890064
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:nottingham-forest:west-bromwich-albion,2,1.3889287277809106,0.8461108860835544,2.2387218479498423
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:norwich-city:west-bromwich-albion,3,1.1421274039051053,0.7149802321597257,5.458412342719145
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:brentford,2,1.4028753595493026,0.8545079029141178,2.2493094848866324
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:preston-north-end,2,0.8063065584991188,0.46026558270028134,2.1686288162323786
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:swansea-city,3,1.3452561045376832,0.8269650315077577,2.462630699830256
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:preston-north-end:stoke-city,3,1.4043987913558256,0.8696726213821517,3.191307250075619
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:queens-park-rangers,4,0.7169721337895358,0.3938938684994879,6.35474351786834
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:leeds-united,4,1.4086944470991158,0.8842320025106201,3.077667326372926
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:wigan-athletic,4,1.3321656278580958,0.8455271688936411,4.063584050749161
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:west-bromwich-albion,5,0.6260616555431902,0.32476860312398675,2.1670592835756075
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:hull-city,5,0.8623658963881062,0.5060878630020587,2.7083938934643053
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:bristol-city,5,1.2889669410079951,0.8153525276651665,2.56142589626259
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:millwall:swansea-city,6,1.1480410327486226,0.7116550586780848,2.679356377135444
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:stoke-city,6,0.8095646070092292,0.4659735070388849,2.73148112251046
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:west-bromwich-albion,7,1.3774419165726277,0.8396728727277893,2.219712850312674
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:sheffield-wednesday:stoke-city,7,1.4253900526096892,0.8813761117547068,3.1537994711194215
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:nottingham-forest,7,1.4237966916342881,0.9063908426317099,2.577505470185554
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:swansea-city,8,0.8896387618754205,0.5261282981381243,2.315127318584142
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bristol-city,8,0.8083743536243274,0.4640225698270875,4.483377388442621
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:swansea-city,9,1.3988127261484118,0.8814957961208088,2.5383765971490946
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:blackburn-rovers,9,1.201717208683743,0.7564597718457312,4.007263666705091
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:millwall,9,0.8664995008376178,0.5066867306927151,2.6250511816617115
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:preston-north-end:west-bromwich-albion,10,1.241529913916749,0.7828635549067642,4.060307516954547
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:rotherham-united:stoke-city,10,1.4238765303595557,0.8730463115074841,3.1334851115318205
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:queens-park-rangers,10,0.645655654483843,0.3394217087802942,2.916787705968157
