competition_id,model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
eng-championship,M2,preseason,points_pit,0.2,0.3,21,0.23918909495968763,0.07954545454545454
eng-championship,M2,preseason,points_pit,0.3,0.4,14,0.3561813013349421,0.05303030303030303
eng-championship,M2,preseason,points_pit,0.4,0.5,25,0.45370723769932764,0.0946969696969697
eng-championship,M2,preseason,points_pit,0.5,0.6,15,0.552161773618306,0.056818181818181816
eng-championship,M2,preseason,points_pit,0.6,0.7,19,0.6610654580768656,0.07196969696969698
eng-championship,M2,preseason,points_pit,0.7,0.8,12,0.761169355928247,0.045454545454545456
eng-championship,M2,preseason,points_pit,0.8,0.9,25,0.8509105383381942,0.0946969696969697
eng-championship,M2,preseason,points_pit,0.9,1.0,50,0.9738181830045142,0.1893939393939394
eng-championship,M2,preseason,rank_pit,0.0,0.1,43,0.041040290274913994,0.16287878787878787
eng-championship,M2,preseason,rank_pit,0.1,0.2,30,0.1473074390239752,0.11363636363636363
eng-championship,M2,preseason,rank_pit,0.2,0.3,20,0.24632287973641395,0.07575757575757576
eng-championship,M2,preseason,rank_pit,0.3,0.4,18,0.3561155320481784,0.06818181818181818
eng-championship,M2,preseason,rank_pit,0.4,0.5,22,0.4464858161096036,0.08333333333333333
eng-championship,M2,preseason,rank_pit,0.5,0.6,22,0.5455749027835668,0.08333333333333333
eng-championship,M2,preseason,rank_pit,0.6,0.7,14,0.6626689009222904,0.05303030303030303
eng-championship,M2,preseason,rank_pit,0.7,0.8,24,0.7460949051184836,0.09090909090909091
eng-championship,M2,preseason,rank_pit,0.8,0.9,28,0.8412897879031426,0.10606060606060606
eng-championship,M2,preseason,rank_pit,0.9,1.0,43,0.9621138279210323,0.16287878787878787
eng-championship,M2,preseason,automatic_promotion,0.0,0.1,206,0.01982330097087379,0.04854368932038835
eng-championship,M2,preseason,automatic_promotion,0.1,0.2,25,0.13090800000000002,0.08
eng-championship,M2,preseason,automatic_promotion,0.2,0.3,10,0.26776,0.4
eng-championship,M2,preseason,automatic_promotion,0.3,0.4,4,0.33845000000000003,0.25
eng-championship,M2,preseason,automatic_promotion,0.4,0.5,8,0.4436,0.375
eng-championship,M2,preseason,automatic_promotion,0.5,0.6,5,0.54382,0.2
eng-championship,M2,preseason,automatic_promotion,0.6,0.7,1,0.6396,0.0
eng-championship,M2,preseason,automatic_promotion,0.7,0.8,5,0.7409600000000001,0.2
eng-championship,M2,preseason,automatic_promotion,0.8,0.9,0,,
eng-championship,M2,preseason,automatic_promotion,0.9,1.0,0,,
eng-championship,M2,preseason,playoff_qualification,0.0,0.1,101,0.04003663366336635,0.09900990099009901
eng-championship,M2,preseason,playoff_qualification,0.1,0.2,71,0.1457845070422535,0.18309859154929578
eng-championship,M2,preseason,playoff_qualification,0.2,0.3,35,0.24025142857142856,0.17142857142857143
eng-championship,M2,preseason,playoff_qualification,0.3,0.4,44,0.35133636363636367,0.29545454545454547
eng-championship,M2,preseason,playoff_qualification,0.4,0.5,12,0.4346999999999999,0.08333333333333333
eng-championship,M2,preseason,playoff_qualification,0.5,0.6,1,0.5216000000000001,1.0
eng-championship,M2,preseason,playoff_qualification,0.6,0.7,0,,
eng-championship,M2,preseason,playoff_qualification,0.7,0.8,0,,
eng-championship,M2,preseason,playoff_qualification,0.8,0.9,0,,
eng-championship,M2,preseason,playoff_qualification,0.9,1.0,0,,
eng-championship,M2,preseason,promotion,0.0,0.1,183,0.03073825136612022,0.08196721311475409
eng-championship,M2,preseason,promotion,0.1,0.2,31,0.14803225806451611,0.12903225806451613
eng-championship,M2,preseason,promotion,0.2,0.3,16,0.22985624999999998,0.0625
