season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2021-2022,M5,MW19,20,1,-0.27930500000000047,6.428484378646339,3,3.3337000000000026,2,0.04960337339473685,3.4654341995,6.073974928852055,0.7,8.4,0.85,15.7,0.9,20.1,0.9,23.7,0.0004710999999999979,0.03883642475,0.051988638
2021-2022,M5,MW30,20,1,-0.07361499999999985,4.365645360825819,3,1.4797666666666676,2,0.04271892967105263,2.5671921675,3.6307826865167967,0.5,5.05,0.7,9.35,0.8,11.9,0.9,13.9,0.010147411,0.02497042225,0.03478454875
2021-2022,M5,MW6,20,1,-0.182034999999998,9.28445522561771,3,6.749266666666668,2,0.07856214314473683,5.336249775500001,8.778740289270976,0.55,12.15,0.75,22.65,0.85,28.8,0.95,34.35,0.010858223000000007,0.06511395625,0.05366535899999999
2021-2022,M5,preseason,20,1,-0.13624500000000167,10.227552288377705,3,7.373466666666668,2,0.08657759332894735,5.9002934125,10.085605059278532,0.4,13.6,0.8,25.9,0.95,33.4,0.95,39.4,0.010922147999999998,0.071740459,0.081399268
2021-2022,M7,MW12,20,1,-0.1950049999999992,8.93398648955213,3,8.092066666666666,3,0.07480563336842108,5.175949085499999,7.262050522158044,0.45,9.85,0.7,18.8,0.8,24.0,0.8,28.35,0.020518073999999994,0.05727922675,0.06589713800000001
2021-2022,M7,MW19,20,1,-0.2503200000000014,6.439103826931197,3,4.4952,3,0.050322752460526324,3.410603378,5.876773674850527,0.65,8.0,0.85,15.1,0.9,19.45,0.9,22.8,0.0006162249999999975,0.03601341825,0.05637037125000001
2021-2022,M7,MW30,20,1,-0.06106499999999926,4.077856272908598,3,2.1349666666666685,2,0.04180108601315789,2.366869462499999,3.5843035939799877,0.45,4.9,0.8,9.2,0.85,11.85,0.9,13.75,0.009856460249999999,0.02591966175,0.035130112000000005
2021-2022,M7,MW6,20,1,-0.10010499999999922,10.289441614903113,3,8.401533333333335,3,0.08924311425,5.906692816499999,8.471274182398886,0.5,11.55,0.65,22.0,0.8,28.1,0.85,32.9,0.009326866000000003,0.07290280774999999,0.048205281999999995
2021-2022,M7,preseason,20,1,-0.08449999999999988,11.120355099321245,3,8.171633333333332,2,0.09143475217105264,6.395985328000001,9.793598419416846,0.4,13.4,0.75,25.3,0.95,32.2,0.95,38.15,0.01259762475,0.07203197174999999,0.08189613199999998
2022-2023,M2,MW12,20,1,-0.2556399999999993,10.97601023778677,3,-6.2132000000000005,0,0.12533863355263158,6.925673004000001,6.128060469161001,0.2,8.2,0.4,15.8,0.65,20.2,0.75,24.05,0.0001791830000000021,0.12124303325000003,0.170828284
