model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M4,MW6,top_four,0.9,1.0,13,0.9559269230769232,1.0
M4,MW6,relegation,0.0,0.1,129,0.018058914728682172,0.007751937984496124
M4,MW6,relegation,0.1,0.2,30,0.14120499999999997,0.06666666666666667
M4,MW6,relegation,0.2,0.3,15,0.23583666666666664,0.3333333333333333
M4,MW6,relegation,0.3,0.4,17,0.3400205882352941,0.35294117647058826
M4,MW6,relegation,0.4,0.5,10,0.449275,0.5
M4,MW6,relegation,0.5,0.6,5,0.54654,0.8
M4,MW6,relegation,0.6,0.7,7,0.6451214285714286,0.5714285714285714
M4,MW6,relegation,0.7,0.8,6,0.7481083333333333,0.8333333333333334
M4,MW6,relegation,0.8,0.9,1,0.8864,1.0
M4,MW6,relegation,0.9,1.0,0,,
M4,preseason,pit,0.0,0.1,28,0.0489508161239693,0.12727272727272726
M4,preseason,pit,0.1,0.2,21,0.15861734136068392,0.09545454545454546
M4,preseason,pit,0.2,0.3,21,0.25411997911219375,0.09545454545454546
M4,preseason,pit,0.3,0.4,24,0.33564139716973235,0.10909090909090909
M4,preseason,pit,0.4,0.5,22,0.4453418960834172,0.1
M4,preseason,pit,0.5,0.6,16,0.5483657756662206,0.07272727272727272
M4,preseason,pit,0.6,0.7,20,0.6528567965807185,0.09090909090909091
M4,preseason,pit,0.7,0.8,22,0.7435803499315813,0.1
M4,preseason,pit,0.8,0.9,23,0.8483269364262548,0.10454545454545454
M4,preseason,pit,0.9,1.0,23,0.9643361842425265,0.10454545454545454
M4,preseason,title,0.0,0.1,190,0.010342105263157896,0.015789473684210527
M4,preseason,title,0.1,0.2,13,0.15008846153846153,0.07692307692307693
M4,preseason,title,0.2,0.3,6,0.24160833333333334,0.16666666666666666
M4,preseason,title,0.3,0.4,2,0.36055000000000004,0.5
M4,preseason,title,0.4,0.5,3,0.46146666666666664,0.0
M4,preseason,title,0.5,0.6,5,0.57004,0.8
M4,preseason,title,0.6,0.7,1,0.6785,1.0
M4,preseason,title,0.7,0.8,0,,
M4,preseason,title,0.8,0.9,0,,
M4,preseason,title,0.9,1.0,0,,
M4,preseason,top_four,0.0,0.1,126,0.02444682539682539,0.023809523809523808
M4,preseason,top_four,0.1,0.2,25,0.14681,0.12
M4,preseason,top_four,0.2,0.3,16,0.252028125,0.375
M4,preseason,top_four,0.3,0.4,10,0.35098,0.6
M4,preseason,top_four,0.4,0.5,9,0.4498499999999999,0.2222222222222222
M4,preseason,top_four,0.5,0.6,5,0.56188,0.0
M4,preseason,top_four,0.6,0.7,11,0.653709090909091,0.8181818181818182
